native,classified_errors,error_counts
Chinese (Mandarin),"[('Pronoun Error', 'and', 'CCONJ', 'we', 'PRON'), ('Noun Error', 'start', 'NOUN', 'to', 'PART'), ('Verb Error', 'to', 'PART', 'talk', 'VERB'), ('Verb Error', 'talk', 'VERB', 'about', 'ADP')]","Counter({'Verb Error': 2, 'Pronoun Error': 1, 'Noun Error': 1})"
Chinese (Mandarin),"[('Pronoun Error', ""l'm"", 'AUX', 'I', 'PRON'), ('Verb Error', 'looking', 'VERB', ""'m"", 'AUX'), ('Verb Error', 'for', 'ADP', 'looking', 'VERB'), ('Preposition Error', 'a', 'DET', 'for', 'ADP'), ('Noun Error', 'partner', 'NOUN', 'a', 'DET'), ('Noun Error', 'who', 'PRON', 'partner', 'NOUN'), ('Verb Error', 'speaks', 'VERB', 'who', 'PRON'), ('Verb Error', 'English', 'PROPN', 'speaks', 'VERB'), ('Other Error', 'or', 'CCONJ', 'English', 'PROPN'), ('Other Error', 'French', 'PROPN', 'or', 'CCONJ'), ('Other Error', 'and', 'CCONJ', 'French', 'PROPN'), ('Pronoun Error', 'who', 'PRON', 'and', 'CCONJ'), ('Verb Error', 'wants', 'VERB', 'who', 'PRON'), ('Verb Error', 'to', 'PART', 'wants', 'VERB'), ('Verb Error', 'lean', 'VERB', 'to', 'PART'), ('Verb Error', 'Chinese', 'PROPN', 'lean', 'VERB'), ('Other Error', ',', 'PUNCT', 'Chinese', 'PROPN'), ('Pronoun Error', 'I', 'PRON', ',', 'PUNCT'), ('Pronoun Error', ""'m"", 'AUX', 'I', 'PRON'), ('Other Error', 'here', 'ADV', ""'m"", 'AUX'), ('Preposition Error', 'for', 'ADP', 'here', 'ADV'), ('Preposition Error', 'you', 'PRON', 'for', 'ADP'), ('Pronoun Error', '!', 'PUNCT', 'you', 'PRON')]","Counter({'Verb Error': 8, 'Pronoun Error': 5, 'Other Error': 5, 'Preposition Error': 3, 'Noun Error': 2})"
Chinese (Mandarin),[],Counter()
Chinese (Mandarin),[],Counter()
Chinese (Mandarin),"[('Adjective Error', 'English', 'PROPN', 'English', 'ADJ'), ('Noun Error', 'Proficiency', 'PROPN', 'proficiency', 'NOUN')]","Counter({'Adjective Error': 1, 'Noun Error': 1})"
Chinese (Mandarin),[],Counter()
Chinese (Mandarin),[],Counter()
Chinese (Mandarin),"[('Verb Error', 'love', 'AUX', 'love', 'VERB'), ('Other Error', 'd', 'INTJ', ""'d"", 'AUX'), ('Verb Error', ""'"", 'PUNCT', 'like', 'VERB'), ('Verb Error', 'like', 'VERB', 'to', 'PART'), ('Verb Error', 'to', 'PART', 'learn', 'VERB'), ('Verb Error', 'learn', 'VERB', 'more', 'ADJ'), ('Preposition Error', 'further', 'ADV', 'about', 'ADP'), ('Noun Error', 'about', 'ADP', 'culture', 'NOUN'), ('Adjective Error', 'overseas', 'ADJ', '.', 'PUNCT'), ('Noun Error', 'culture', 'NOUN', 'It', 'PRON'), ('Other Error', '.', 'PUNCT', 'is', 'AUX'), ('Noun Error', 'is', 'AUX', 'pleasure', 'NOUN'), ('Pronoun Error', 'my', 'PRON', 'to', 'PART'), ('Verb Error', 'pleasure', 'NOUN', 'help', 'VERB'), ('Pronoun Error', 'to', 'PART', 'you', 'PRON'), ('Pronoun Error', 'you', 'PRON', 'Chinese', 'PROPN'), ('Verb Error', 'learn', 'VERB', 'if', 'SCONJ'), ('Pronoun Error', 'Chinese', 'PROPN', 'you', 'PRON'), ('Other Error', 'if', 'SCONJ', 'would', 'AUX'), ('Verb Error', 'you', 'PRON', 'like', 'VERB'), ('Other Error', 'would', 'AUX', '.', 'PUNCT'), ('Verb Error', 'like', 'VERB', 'And', 'CCONJ'), ('Pronoun Error', '.', 'PUNCT', 'I', 'PRON'), ('Verb Error', 'and', 'CCONJ', 'wanna', 'VERB'), ('Verb Error', 'I', 'PRON', 'make', 'VERB'), ('Verb Error', 'wanna', 'VERB', 'more', 'ADJ'), ('Verb Error', 'make', 'VERB', 'friends', 'NOUN'), ('Adjective Error', 'more', 'ADJ', 'to', 'PART'), ('Verb Error', 'friends', 'NOUN', 'talk', 'VERB'), ('Preposition Error', 'to', 'PART', 'for', 'ADP'), ('Preposition Error', 'for', 'ADP', 'our', 'PRON'), ('Verb Error', 'exchanging', 'VERB', 'fantastic', 'ADJ'), ('Noun Error', 'our', 'PRON', 'minds', 'NOUN'), ('Adjective Error', 'fantastic', 'ADJ', '.', 'PUNCT'), ('Noun Error', 'minds', 'NOUN', 'Of', 'ADV'), ('Other Error', '.', 'PUNCT', 'course', 'ADV'), ('Preposition Error', 'of', 'ADP', ',', 'PUNCT'), ('Noun Error', 'course', 'NOUN', 'I', 'PRON'), ('Verb Error', ',', 'PUNCT', 'have', 'VERB'), ('Pronoun Error', 'I', 'PRON', 'pretty', 'ADV'), ('Verb Error', 'have', 'VERB', 'much', 'ADJ'), ('Noun Error', 'pretty', 'ADV', 'hobbies', 'NOUN'), ('Adjective Error', 'much', 'ADJ', 'to', 'PART'), ('Verb Error', 'hobbies', 'NOUN', 'share', 'VERB'), ('Preposition Error', 'to', 'PART', 'with', 'ADP'), ('Verb Error', 'share', 'VERB', 'you', 'PRON'), ('Adjective Error', 'with', 'ADP', 'such', 'ADJ'), ('Preposition Error', 'you', 'PRON', 'as', 'ADP'), ('Noun Error', 'such', 'ADJ', 'football', 'NOUN'), ('Preposition Error', 'as', 'ADP', ',', 'PUNCT'), ('Noun Error', 'games', 'NOUN', 'etc', 'X'), ('Other Error', ',', 'PUNCT', '.', 'X'), ('Verb Error', 'etc', 'X', 'Hope', 'VERB'), ('Other Error', '.', 'X', 'to', 'PART'), ('Pronoun Error', 'to', 'PART', 'you', 'PRON'), ('Verb Error', 'meet', 'VERB', 'as', 'ADV'), ('Pronoun Error', 'you', 'PRON', 'soon', 'ADV'), ('Preposition Error', 'as', 'ADV', 'as', 'ADP'), ('Adjective Error', 'soon', 'ADV', 'possible', 'ADJ'), ('Preposition Error', 'as', 'ADP', '!', 'PUNCT')]","Counter({'Verb Error': 21, 'Preposition Error': 9, 'Noun Error': 9, 'Pronoun Error': 8, 'Other Error': 7, 'Adjective Error': 6})"
Chinese (Mandarin),"[('Noun Error', 'Chinse', 'NOUN', 'Chinese', 'PROPN'), ('Noun Error', 'city', 'NOUN', 'the', 'DET'), ('Noun Error', 'as', 'ADV', 'city', 'NOUN'), ('Other Error', '.', 'PUNCT', 'well', 'ADV')]","Counter({'Noun Error': 3, 'Other Error': 1})"
Chinese (Mandarin),"[('Adjective Error', 'Cantonese', 'ADJ', 'Cantonese', 'PROPN'), ('Noun Error', 'mandarin', 'NOUN', 'Mandarin', 'PROPN')]","Counter({'Adjective Error': 1, 'Noun Error': 1})"
Chinese (Mandarin),"[('Verb Error', 'to', 'PART', 'discussing', 'VERB'), ('Verb Error', 'discuss', 'VERB', 'whatever', 'DET'), ('Noun Error', 'whatever', 'DET', 'topics', 'NOUN'), ('Noun Error', 'topics', 'NOUN', '.', 'PUNCT'), ('Pronoun Error', '.', 'PUNCT', 'It', 'PRON'), ('Pronoun Error', 'It', 'PRON', 'will', 'AUX'), ('Adjective Error', 'be', 'AUX', 'better', 'ADJ'), ('Adjective Error', 'better', 'ADJ', 'if', 'SCONJ'), ('Pronoun Error', 'if', 'SCONJ', 'you', 'PRON'), ('Pronoun Error', 'you', 'PRON', 'can', 'AUX'), ('Verb Error', 'can', 'AUX', 'speak', 'VERB'), ('Verb Error', 'speak', 'VERB', 'a', 'DET'), ('Adjective Error', 'a', 'DET', 'little', 'ADJ'), ('Adjective Error', 'little', 'ADJ', 'Chinese', 'PROPN'), ('Other Error', 'Chinese', 'PROPN', '.', 'PUNCT'), ('Pronoun Error', '.', 'PUNCT', 'You', 'PRON'), ('Pronoun Error', 'You', 'PRON', 'can', 'AUX'), ('Verb Error', 'can', 'AUX', 'contact', 'VERB'), ('Verb Error', 'contact', 'VERB', 'me', 'PRON'), ('Preposition Error', 'me', 'PRON', 'via', 'ADP'), ('Preposition Error', 'from', 'ADP', 'WeChat', 'PROPN'), ('Other Error', 'WeChat', 'PROPN', 'or', 'CCONJ'), ('Other Error', 'or', 'CCONJ', 'WhatsApp', 'PROPN'), ('Other Error', 'WhatsApp', 'PROPN', '.', 'PUNCT'), ('Verb Error', '.', 'PUNCT', 'Looking', 'VERB'), ('Verb Error', 'Looking', 'VERB', 'forward', 'ADV'), ('Preposition Error', 'forward', 'ADV', 'to', 'ADP'), ('Verb Error', 'to', 'ADP', 'talking', 'VERB'), ('Verb Error', 'talking', 'VERB', 'with', 'ADP'), ('Preposition Error', 'with', 'ADP', 'you', 'PRON'), ('Pronoun Error', 'you', 'PRON', '.', 'PUNCT')]","Counter({'Verb Error': 10, 'Pronoun Error': 7, 'Adjective Error': 4, 'Other Error': 4, 'Preposition Error': 4, 'Noun Error': 2})"
Chinese (Mandarin),[],Counter()
Chinese (Mandarin),"[('Noun Error', 'mandarin', 'NOUN', 'Mandarin', 'PROPN')]",Counter({'Noun Error': 1})
Chinese (Mandarin),"[('Other Error', ""HiI'm"", 'PROPN', 'Hi', 'INTJ'), ('Pronoun Error', 'Annie', 'PROPN', 'I', 'PRON'), ('Other Error', ',', 'PUNCT', ""'m"", 'AUX'), ('Pronoun Error', 'I', 'PRON', 'Annie', 'PROPN'), ('Other Error', ""'d"", 'AUX', ',', 'PUNCT'), ('Verb Error', 'like', 'VERB', 'I', 'PRON'), ('Other Error', 'to', 'PART', ""'d"", 'AUX'), ('Noun Error', 'practice', 'NOUN', 'to', 'PART'), ('Verb Error', 'English', 'PROPN', 'continue', 'VERB'), ('Verb Error', 'and', 'CCONJ', 'practicing', 'VERB'), ('Verb Error', 'meet', 'VERB', 'English', 'PROPN'), ('Noun Error', 'friends', 'NOUN', 'and', 'CCONJ'), ('Verb Error', 'whose', 'DET', 'meet', 'VERB'), ('Verb Error', 'live', 'VERB', 'friends', 'NOUN'), ('Preposition Error', 'in', 'ADP', 'whose', 'DET'), ('Verb Error', 'GZ', 'PROPN', 'live', 'VERB'), ('Preposition Error', 'and', 'CCONJ', 'in', 'ADP'), ('Verb Error', 'expect', 'VERB', 'GZ', 'PROPN'), ('Other Error', 'to', 'PART', 'and', 'CCONJ'), ('Other Error', 'Chineseboth', 'PROPN', 'to', 'PART'), ('Verb Error', 'mandarin', 'NOUN', 'practice', 'VERB'), ('Other Error', 'and', 'CCONJ', 'Chinese', 'PROPN'), ('Other Error', 'Cantonese', 'PROPN', 'both', 'CCONJ'), ('Other Error', '  ', 'SPACE', 'Mandarin', 'PROPN'), ('Pronoun Error', 'My', 'PRON', 'and', 'CCONJ'), ('Noun Error', 'college', 'NOUN', 'Cantonese', 'PROPN'), ('Noun Error', 'major', 'NOUN', '.', 'PUNCT'), ('Pronoun Error', 'is', 'AUX', 'My', 'PRON'), ('Noun Error', 'Broadcasting', 'PROPN', 'college', 'NOUN'), ('Noun Error', 'and', 'CCONJ', 'major', 'NOUN'), ('Noun Error', 'hosting', 'NOUN', 'is', 'AUX'), ('Other Error', ',', 'PUNCT', 'Broadcasting', 'PROPN'), ('Pronoun Error', 'which', 'PRON', 'and', 'CCONJ'), ('Verb Error', 'enables', 'VERB', 'hosting', 'NOUN'), ('Pronoun Error', 'me', 'PRON', ',', 'PUNCT'), ('Pronoun Error', 'to', 'PART', 'which', 'PRON'), ('Adjective Error', 'accurate', 'ADJ', 'I', 'PRON'), ('Noun Error', 'pronunciation', 'NOUN', ""'m"", 'AUX'), ('Adjective Error', 'and', 'CCONJ', 'willing', 'ADJ'), ('Adjective Error', 'good', 'ADJ', 'to', 'PART'), ('Verb Error', 'expression', 'NOUN', 'correct', 'VERB'), ('Pronoun Error', '.', 'PUNCT', 'your', 'PRON'), ('Noun Error', 'I', 'PRON', 'pronunciation', 'NOUN'), ('Other Error', ""'m"", 'AUX', 'and', 'CCONJ'), ('Verb Error', 'willing', 'ADJ', 'teach', 'VERB'), ('Pronoun Error', 'to', 'PART', 'you', 'PRON'), ('Verb Error', 'correct', 'VERB', 'something', 'PRON'), ('Preposition Error', 'ur', 'PROPN', 'about', 'ADP'), ('Noun Error', 'pronunciation', 'NOUN', 'Chinese', 'ADJ'), ('Noun Error', 'and', 'CCONJ', 'culture', 'NOUN'), ('Verb Error', 'teach', 'VERB', '.', 'PUNCT'), ('Verb Error', 'u', 'PRON', 'Looking', 'VERB'), ('Preposition Error', 'something', 'PRON', 'for', 'ADP'), ('Preposition Error', 'about', 'ADP', 'a', 'DET'), ('Noun Error', '.', 'PUNCT', 'partner', 'NOUN'), ('Verb Error', 'Looking', 'VERB', 'can', 'AUX'), ('Verb Error', 'for', 'ADP', 'hang', 'VERB'), ('Preposition Error', 'a', 'DET', 'out', 'ADP'), ('Adjective Error', 'real', 'ADJ', 'together', 'ADV'), ('Noun Error', 'language', 'NOUN', 'and', 'CCONJ'), ('Verb Error', 'partner', 'NOUN', 'communicate', 'VERB'), ('Preposition Error', 'can', 'AUX', 'in', 'ADP'), ('Verb Error', 'hang', 'VERB', 'person', 'NOUN'), ('Preposition Error', 'out', 'ADP', ',', 'PUNCT'), ('Other Error', 'together', 'ADV', 'not', 'PART'), ('Verb Error', 'and', 'CCONJ', 'dating', 'VERB'), ('Verb Error', 'communicate', 'VERB', '.', 'PUNCT'), ('Preposition Error', 'in', 'ADP', 'Please', 'INTJ'), ('Verb Error', 'personnot', 'ADV', 'feel', 'VERB'), ('Verb Error', 'dating', 'VERB', 'free', 'ADJ'), ('Other Error', '.', 'PUNCT', 'to', 'PART'), ('Verb Error', 'Please', 'INTJ', 'text', 'VERB'), ('Verb Error', 'feel', 'VERB', 'me', 'PRON'), ('Adjective Error', 'free', 'ADJ', ',', 'PUNCT'), ('Pronoun Error', 'to', 'PART', 'my', 'PRON'), ('Verb Error', 'text', 'VERB', 'WeChat', 'NOUN'), ('Pronoun Error', 'me', 'PRON', ':', 'PUNCT'), ('Other Error', ',', 'PUNCT', 'catcat416', 'NUM'), ('Pronoun Error', 'my', 'PRON', '.', 'PUNCT')]","Counter({'Verb Error': 26, 'Other Error': 14, 'Noun Error': 13, 'Pronoun Error': 12, 'Preposition Error': 9, 'Adjective Error': 5})"
Chinese (Mandarin),"[('Pronoun Error', 'I', 'PRON', ',', 'PUNCT'), ('Pronoun Error', ""'m"", 'AUX', 'I', 'PRON'), ('Other Error', 'Ruby', 'PROPN', ""'m"", 'AUX'), ('Preposition Error', 'from', 'ADP', 'Ruby', 'PROPN'), ('Preposition Error', 'China', 'PROPN', 'from', 'ADP'), ('Other Error', '.', 'PUNCT', 'China', 'PROPN'), ('Pronoun Error', 'I', 'PRON', '.', 'PUNCT'), ('Pronoun Error', 'can', 'AUX', 'I', 'PRON'), ('Verb Error', 'speak', 'VERB', 'can', 'AUX'), ('Verb Error', 'both', 'CCONJ', 'speak', 'VERB'), ('Other Error', 'Cantonese', 'PROPN', 'both', 'CCONJ'), ('Other Error', 'and', 'CCONJ', 'Cantonese', 'PROPN'), ('Other Error', 'Mandarin', 'PROPN', 'and', 'CCONJ'), ('Other Error', '.', 'PUNCT', 'Mandarin', 'PROPN'), ('Pronoun Error', 'I', 'PRON', '.', 'PUNCT'), ('Pronoun Error', 'really', 'ADV', 'I', 'PRON'), ('Verb Error', 'looking', 'VERB', 'really', 'ADV'), ('Verb Error', 'forward', 'ADV', 'look', 'VERB'), ('Other Error', 'to', 'PART', 'forward', 'ADV'), ('Verb Error', 'exchange', 'VERB', 'to', 'PART'), ('Verb Error', 'languages', 'NOUN', 'exchange', 'VERB'), ('Noun Error', 'with', 'ADP', 'languages', 'NOUN'), ('Preposition Error', 'you', 'PRON', 'with', 'ADP'), ('Pronoun Error', ',', 'PUNCT', 'you', 'PRON'), ('Other Error', 'not', 'PART', ',', 'PUNCT'), ('Other Error', 'only', 'ADV', 'not', 'PART'), ('Other Error', 'to', 'PART', 'only', 'ADV'), ('Verb Error', 'make', 'VERB', 'to', 'PART'), ('Verb Error', 'friends', 'NOUN', 'make', 'VERB'), ('Noun Error', 'but', 'CCONJ', 'friends', 'NOUN'), ('Other Error', 'also', 'ADV', ',', 'PUNCT'), ('Verb Error', 'get', 'VERB', 'but', 'CCONJ'), ('Other Error', 'to', 'PART', 'also', 'ADV'), ('Verb Error', 'know', 'VERB', 'to', 'PART'), ('Verb Error', 'a', 'DET', 'get', 'VERB'), ('Adjective Error', 'different', 'ADJ', 'to', 'PART'), ('Verb Error', 'culture', 'NOUN', 'know', 'VERB'), ('Other Error', '.', 'PUNCT', 'a', 'DET'), ('Adjective Error', 'Hopefully', 'ADV', 'different', 'ADJ'), ('Noun Error', 'we', 'PRON', 'culture', 'NOUN'), ('Other Error', 'can', 'AUX', '.', 'PUNCT'), ('Verb Error', 'get', 'VERB', 'Hopefully', 'ADV'), ('Preposition Error', 'in', 'ADP', 'we', 'PRON'), ('Noun Error', 'touch', 'NOUN', 'can', 'AUX'), ('Verb Error', 'soon', 'ADV', 'get', 'VERB'), ('Preposition Error', '.', 'PUNCT', 'in', 'ADP')]","Counter({'Other Error': 14, 'Verb Error': 14, 'Pronoun Error': 7, 'Preposition Error': 5, 'Noun Error': 4, 'Adjective Error': 2})"
Chinese (Mandarin),"[('Adjective Error', 'round', 'ADJ', 'for', 'ADP'), ('Preposition Error', '11', 'NUM', 'around', 'ADP'), ('Noun Error', 'years', 'NOUN', '11', 'NUM'), ('Noun Error', ',', 'PUNCT', 'years', 'NOUN'), ('Other Error', 'so', 'ADV', ',', 'PUNCT'), ('Pronoun Error', 'my', 'PRON', 'so', 'ADV'), ('Pronoun Error', 'English', 'PROPN', 'my', 'PRON'), ('Other Error', 'is', 'AUX', 'English', 'PROPN'), ('Adjective Error', 'Ok', 'ADJ', 'is', 'AUX'), ('Adjective Error', 'in', 'ADP', 'OK', 'ADJ'), ('Adjective Error', 'common', 'ADJ', 'in', 'ADP'), ('Noun Error', 'communication', 'NOUN', 'common', 'ADJ'), ('Noun Error', ',', 'PUNCT', 'communication', 'NOUN'), ('Other Error', 'but', 'CCONJ', ',', 'PUNCT'), ('Other Error', 'kinda', 'ADV', 'but', 'CCONJ'), ('Adjective Error', 'hard', 'ADJ', 'kinda', 'ADV'), ('Adjective Error', 'to', 'PART', 'hard', 'ADJ'), ('Verb Error', 'have', 'VERB', 'to', 'PART'), ('Verb Error', 'deep', 'ADJ', 'have', 'VERB'), ('Noun Error', 'conversation', 'NOUN', 'deep', 'ADJ'), ('Noun Error', 'on', 'ADP', 'conversation', 'NOUN'), ('Preposition Error', 'a', 'DET', 'on', 'ADP'), ('Adjective Error', 'specified', 'ADJ', 'a', 'DET'), ('Noun Error', 'topic', 'NOUN', 'specified', 'ADJ'), ('Noun Error', '.', 'PUNCT', 'topic', 'NOUN'), ('Pronoun Error', 'I', 'PRON', '.', 'PUNCT'), ('Pronoun Error', 'am', 'AUX', 'I', 'PRON'), ('Other Error', 'a', 'DET', 'am', 'AUX'), ('Other Error', 'Cantonese', 'PROPN', 'a', 'DET'), ('Adjective Error', 'in', 'ADP', 'Cantonese', 'ADJ')]","Counter({'Adjective Error': 8, 'Noun Error': 8, 'Other Error': 6, 'Pronoun Error': 4, 'Preposition Error': 2, 'Verb Error': 2})"
Chinese (Mandarin),"[('Pronoun Error', 'ne', 'PROPN', 'me', 'PRON')]",Counter({'Pronoun Error': 1})
Chinese (Mandarin),"[('Preposition Error', 'for', 'ADP', 'to', 'PART'), ('Verb Error', 'to', 'PART', 'correct', 'VERB'), ('Verb Error', 'correct', 'VERB', 'your', 'PRON'), ('Pronoun Error', 'your', 'PRON', 'Chinese', 'PROPN'), ('Other Error', 'Chinese', 'PROPN', 'and', 'CCONJ'), ('Verb Error', 'and', 'CCONJ', 'introduce', 'VERB'), ('Verb Error', 'introduce', 'VERB', 'you', 'PRON'), ('Preposition Error', 'you', 'PRON', 'to', 'ADP')]","Counter({'Verb Error': 4, 'Preposition Error': 2, 'Pronoun Error': 1, 'Other Error': 1})"
Chinese (Mandarin),"[('Adjective Error', 'nice', 'ADJ', ',', 'PUNCT'), ('Adjective Error', 'to', 'PART', 'nice', 'ADJ'), ('Verb Error', 'meet', 'VERB', 'to', 'PART'), ('Verb Error', 'you', 'PRON', 'meet', 'VERB'), ('Pronoun Error', '.', 'PUNCT', 'you', 'PRON'), ('Noun Error', 'l', 'NOUN', '.', 'PUNCT'), ('Pronoun Error', 'a', 'DET', 'I', 'PRON'), ('Noun Error', 'language', 'NOUN', 'am', 'AUX'), ('Noun Error', 'lover', 'NOUN', 'a', 'DET'), ('Noun Error', ',', 'PUNCT', 'language', 'NOUN'), ('Noun Error', 'native', 'ADJ', 'lover', 'NOUN'), ('Other Error', 'chinese', 'PROPN', 'and', 'CCONJ'), ('Noun Error', 'speaker.l', 'NOUN', 'native', 'ADJ'), ('Verb Error', 'want', 'VERB', 'Chinese', 'ADJ'), ('Noun Error', 'to', 'PART', 'speaker', 'NOUN'), ('Verb Error', 'practice', 'VERB', '.', 'PUNCT'), ('Pronoun Error', 'English', 'PROPN', 'I', 'PRON'), ('Verb Error', 'and', 'CCONJ', 'want', 'VERB'), ('Other Error', 'Spanish', 'PROPN', 'to', 'PART'), ('Verb Error', ',', 'PUNCT', 'practice', 'VERB'), ('Verb Error', 'make', 'VERB', 'English', 'PROPN'), ('Noun Error', 'friends', 'NOUN', 'and', 'CCONJ'), ('Other Error', 'and', 'CCONJ', 'Spanish', 'PROPN'), ('Verb Error', 'understand', 'VERB', ',', 'PUNCT'), ('Verb Error', 'culture', 'NOUN', 'make', 'VERB'), ('Noun Error', 'and', 'CCONJ', 'friends', 'NOUN'), ('Other Error', 'so', 'ADV', 'and', 'CCONJ'), ('Verb Error', 'on', 'ADV', 'understand', 'VERB'), ('Noun Error', '.', 'PUNCT', 'culture', 'NOUN'), ('Other Error', 'BTW', 'PROPN', 'and', 'CCONJ'), ('Noun Error', 'l', 'NOUN', 'so', 'ADV'), ('Adjective Error', 'interested', 'ADJ', 'on', 'ADV'), ('Other Error', 'any', 'DET', '.', 'PUNCT'), ('Noun Error', 'language', 'NOUN', 'BTW', 'PROPN'), ('Pronoun Error', ""l'm"", 'ADV', 'I', 'PRON'), ('Adjective Error', 'friendly', 'ADJ', 'am', 'AUX'), ('Adjective Error', 'and', 'CCONJ', 'interested', 'ADJ'), ('Preposition Error', 'easy', 'ADV', 'in', 'ADP'), ('Other Error', '-', 'PUNCT', 'any', 'DET'), ('Verb Error', 'going', 'VERB', 'language', 'NOUN'), ('Noun Error', 'person', 'NOUN', '.', 'PUNCT'), ('Pronoun Error', '.', 'PUNCT', 'I', 'PRON'), ('Other Error', 'lf', 'INTJ', ""'m"", 'AUX'), ('Pronoun Error', 'you', 'PRON', 'a', 'DET'), ('Preposition Error', 'in', 'ADP', 'and', 'CCONJ'), ('Other Error', 'chinese', 'PROPN', 'easy', 'ADV'), ('Verb Error', 'weclome', 'NOUN', 'going', 'VERB'), ('Noun Error', 'to', 'PART', 'person', 'NOUN'), ('Verb Error', 'send', 'VERB', '.', 'PUNCT'), ('Noun Error', 'message', 'NOUN', 'If', 'SCONJ'), ('Pronoun Error', 'and', 'CCONJ', 'you', 'PRON'), ('Verb Error', 'make', 'VERB', 'are', 'AUX'), ('Noun Error', 'friends', 'NOUN', 'interested', 'ADJ'), ('Pronoun Error', 'me', 'PRON', 'Chinese', 'PROPN'), ('Verb Error', 'Hope', 'VERB', 'please', 'INTJ'), ('Verb Error', 'we', 'PRON', 'send', 'VERB'), ('Pronoun Error', 'can', 'AUX', 'me', 'PRON'), ('Other Error', 'together', 'ADV', 'a', 'DET'), ('Verb Error', 'study', 'VERB', 'message', 'NOUN'), ('Other Error', '.', 'PUNCT', 'and', 'CCONJ')]","Counter({'Verb Error': 17, 'Noun Error': 16, 'Other Error': 11, 'Pronoun Error': 9, 'Adjective Error': 5, 'Preposition Error': 2})"
Chinese (Mandarin),"[('Pronoun Error', ""I'v"", 'AUX', 'I', 'PRON'), ('Verb Error', 'living', 'VERB', 'been', 'AUX'), ('Verb Error', 'in', 'ADP', 'living', 'VERB'), ('Preposition Error', 'London', 'PROPN', 'in', 'ADP'), ('Other Error', 'almost', 'ADV', 'London', 'PROPN'), ('Preposition Error', 'one', 'NUM', 'for', 'ADP'), ('Other Error', 'and', 'CCONJ', 'almost', 'ADV'), ('Adjective Error', 'half', 'ADJ', 'a', 'PRON'), ('Other Error', 'and', 'CCONJ', ',', 'PUNCT'), ('Other Error', 'and', 'CCONJ', ',', 'PUNCT'), ('Other Error', 'Shanghainese', 'PROPN', 'and', 'CCONJ'), ('Other Error', '.', 'PUNCT', 'Shanghainese', 'PROPN'), ('Other Error', 'If', 'SCONJ', '.', 'PUNCT'), ('Pronoun Error', 'you', 'PRON', 'If', 'SCONJ'), ('Adjective Error', 'interested', 'ADJ', 'you', 'PRON'), ('Preposition Error', 'in', 'ADP', 'are', 'AUX'), ('Verb Error', 'learning', 'VERB', 'interested', 'ADJ'), ('Preposition Error', 'Chinese', 'PROPN', 'in', 'ADP'), ('Verb Error', ',', 'PUNCT', 'learning', 'VERB'), ('Other Error', 'please', 'INTJ', 'Chinese', 'PROPN'), ('Verb Error', 'contact', 'VERB', ',', 'PUNCT'), ('Pronoun Error', 'me', 'PRON', 'please', 'INTJ'), ('Verb Error', '.', 'PUNCT', 'contact', 'VERB'), ('Other Error', 'would', 'AUX', '.', 'PUNCT'), ('Verb Error', 'like', 'VERB', 'I', 'PRON'), ('Other Error', 'to', 'PART', 'would', 'AUX'), ('Verb Error', 'be', 'AUX', 'like', 'VERB'), ('Pronoun Error', 'your', 'PRON', 'to', 'PART'), ('Noun Error', 'language', 'NOUN', 'be', 'AUX'), ('Noun Error', 'partner', 'NOUN', 'your', 'PRON'), ('Noun Error', 'and', 'CCONJ', 'language', 'NOUN'), ('Other Error', '.', 'PUNCT', 'and', 'CCONJ')]","Counter({'Other Error': 11, 'Verb Error': 8, 'Pronoun Error': 4, 'Preposition Error': 4, 'Noun Error': 3, 'Adjective Error': 2})"
